Feature,Importance
members,41.44836573691847
episodes,15.070062166343911
Drama,4.278005176964648
Ecchi,4.1146541023284975
Shounen,3.513536558883528
Harem,2.945956327604866
type_TV,2.8542069296712986
Action,2.443079405898191
Supernatural,2.1906397191571294
Mystery,2.1644956665836363
Adventure,2.0059344497199785
Slice of Life,1.9793055224276592
type_OVA,1.8533417861770618
Military,1.54820373680466
Historical,1.4643685630236338
Psychological,1.3682888226926206
type_Movie,1.3339795277647817
Super Power,1.1051428660262852
Sports,1.0730017616665057
Thriller,1.0719303172389378
Yaoi,0.8107916437508991
Samurai,0.6715450606677329
Josei,0.6479603783403278
Hentai,0.517206006174574
Kids,0.49395695514872623
type_ONA,0.4410484340503396
type_Special,0.3296866987046695
Shoujo Ai,0.161916448123686
type_Music,0.05709874123973055
Yuri,0.0422904899030285
