iter	RMSE
0	0.6394171869
1	0.6174494831
2	0.5923079159
3	0.5760312834
4	0.5659653051
5	0.5558391825
6	0.5464328061
7	0.5361320654
8	0.5303732905
9	0.5252815363
10	0.5217882002
11	0.517040076
12	0.5123264517
13	0.5099775257
14	0.50661587
15	0.503288954
16	0.5012703909
17	0.4986100821
18	0.4967498153
19	0.4941717471
20	0.4923292726
21	0.4903682238
22	0.4896042843
23	0.4888515956
24	0.4870529222
25	0.4858976721
26	0.4849206944
27	0.483457847
28	0.4826532131
29	0.4818188767
30	0.4812015601
31	0.4806871787
32	0.47990153
33	0.4794887657
34	0.4785469624
35	0.477868883
36	0.4768184023
37	0.4757992792
38	0.4753647834
39	0.474972167
40	0.4742333116
41	0.4733016593
42	0.4724816424
43	0.472002874
44	0.4715042395
45	0.4709907741
46	0.4706319323
47	0.4701967703
48	0.4693041058
49	0.4689586366
50	0.4682502214
51	0.4677842624
52	0.4675172419
53	0.4671303932
54	0.4666920666
55	0.4662680325
56	0.466081503
57	0.4658804544
58	0.4655235482
59	0.4651223288
60	0.4648911101
61	0.4647257859
62	0.4644691135
63	0.4643476745
64	0.4640506596
65	0.4639507736
66	0.4638336502
67	0.4636096244
68	0.4634048012
69	0.4632675225
70	0.4630991748
71	0.4629401133
72	0.4627211979
73	0.4625876458
74	0.4624940746
75	0.4624325268
76	0.4622773602
77	0.4622176329
78	0.4621008662
79	0.4619351794
80	0.4617980116
81	0.4615925864
82	0.4614883557
83	0.4613565617
84	0.4611503414
85	0.4610393842
86	0.460904595
87	0.4607967394
88	0.4606581136
89	0.4606266849
90	0.4605485888
91	0.4604681375
92	0.460401254
93	0.4602723612
94	0.4601879032
95	0.4601019309
96	0.460061311
97	0.4600177103
98	0.4599556895
99	0.459917638
100	0.4598949756
101	0.4598385517
102	0.4598120301
103	0.459741287
104	0.4597184084
105	0.4596781405
106	0.459634262
107	0.4595262561
108	0.4594876039
109	0.4594229669
110	0.4593966826
111	0.4592959322
112	0.4592513702
113	0.4592012035
114	0.459168632
115	0.4590654499
116	0.4589974214
117	0.4589615545
118	0.4589155387
119	0.4588772135
120	0.4588463066
121	0.4588259219
122	0.4587953554
123	0.4587311183
124	0.4587066575
125	0.4586867427
126	0.458668232
127	0.4586563181
128	0.4586346268
129	0.4586068807
130	0.4585738884
131	0.4585553946
132	0.4585313488
133	0.4584939566
134	0.4584823359
135	0.4584605699
136	0.4584376075
137	0.4584148244
138	0.4583982316
139	0.4583842038
140	0.4583644899
141	0.4583290685
142	0.4583215735
143	0.4582861576
144	0.4582463795
145	0.4582326227
146	0.4582209387
147	0.4581949916
148	0.4581822678
149	0.4581592264
150	0.4581492679
151	0.458119192
152	0.4581004194
153	0.458071423
154	0.4580405327
155	0.4580284282
156	0.4580131463
157	0.4580015578
158	0.4579888349
159	0.4579677019
160	0.4579618851
161	0.4579454485
162	0.4579394032
163	0.4579157115
164	0.4579034508
165	0.4578860835
166	0.4578788586
167	0.4578689279
168	0.4578410331
169	0.4578289864
170	0.4578032879
171	0.4577883221
172	0.4577800901
173	0.4577691576
174	0.4577470105
175	0.4577408573
176	0.4577274117
177	0.4577188517
178	0.4577109365
179	0.4577052719
180	0.4576974416
181	0.4576915341
182	0.4576762017
183	0.4576649908
184	0.4576601505
185	0.4576531875
186	0.4576498724
187	0.457645053
188	0.4576417788
189	0.4576384354
190	0.4576317059
191	0.4576140183
192	0.457602677
193	0.4575933733
194	0.4575889024
195	0.4575807125
196	0.4575745865
197	0.4575694857
198	0.4575648673
199	0.4575604838
200	0.4575552399
201	0.4575519213
202	0.4575436143
203	0.4575380216
204	0.4575337677
205	0.4575294193
206	0.457522787
207	0.4575203743
208	0.4575173713
209	0.4575125621
210	0.457508672
211	0.4575060023
212	0.4574994269
213	0.4574971629
214	0.4574907529
215	0.4574838445
216	0.4574773457
217	0.4574642047
218	0.4574563386
219	0.4574477545
220	0.4574442574
221	0.4574418153
222	0.4574393404
223	0.4574352322
224	0.4574326808
225	0.45743017
226	0.457426214
227	0.4574239778
228	0.457422018
229	0.4574196529
230	0.4574172594
231	0.4574163217
232	0.4574132657
233	0.4574095092
234	0.4574062879
235	0.4574044702
236	0.4574022408
237	0.4574003903
238	0.4573985268
239	0.4573954226
240	0.4573884209
241	0.4573846226
242	0.4573827872
243	0.4573805539
244	0.457379155
245	0.4573782327
246	0.4573768448
247	0.4573743822
248	0.4573721461
249	0.4573696105
250	0.4573632023
251	0.4573606749
252	0.457359346
253	0.4573584749
254	0.4573572953
255	0.4573548182
256	0.4573536868
257	0.4573523012
258	0.4573499614
259	0.4573482624
260	0.4573440395
261	0.4573412508
262	0.457338336
263	0.4573369918
264	0.4573359343
265	0.4573352814
266	0.4573305399
267	0.4573284855
268	0.4573265559
269	0.4573227735
270	0.4573215907
271	0.4573195518
272	0.4573166341
273	0.4573158148
274	0.4573133666
275	0.4573111682
276	0.4573088065
277	0.4573075077
278	0.4573067535
279	0.457304965
280	0.4573029325
281	0.4573010635
282	0.4573001037
283	0.4572985327
284	0.457297649
285	0.4572968123
286	0.4572957146
287	0.4572942736
288	0.4572921472
289	0.4572911807
290	0.4572902135
291	0.4572880573
292	0.4572867416
293	0.4572847033
294	0.4572839351
295	0.4572830047
296	0.4572817422
297	0.4572814675
298	0.4572805758
299	0.4572788369
300	0.4572782195
301	0.4572774547
302	0.4572771038
303	0.4572752778
304	0.4572748075
305	0.4572739719
306	0.4572723601
307	0.457271541
308	0.4572704516
309	0.457269681
310	0.4572692444
311	0.4572677359
312	0.4572674348
313	0.4572670686
314	0.4572660141
315	0.4572655141
316	0.4572648232
317	0.4572563326
318	0.4572543973
319	0.4572537778
320	0.457252913
321	0.4572510177
322	0.4572504949
323	0.4572481887
324	0.4572470721
325	0.457246909
326	0.4572464358
327	0.457245996
328	0.4572446061
329	0.45724373
330	0.4572415885
331	0.4572398072
332	0.4572381901
333	0.4572376312
334	0.4572366073
335	0.4572354578
336	0.4572341421
337	0.4572334481
338	0.4572322584
339	0.4572308568
340	0.4572304823
341	0.4572298805
342	0.4572284089
343	0.4572275287
344	0.4572270853
345	0.4572265893
346	0.4572255458
347	0.4572250007
348	0.4572243161
349	0.4572235511
350	0.4572231655
351	0.4572227571
352	0.4572219421
353	0.4572174341
354	0.4572164924
355	0.45721615
356	0.4572149872
