iter	Passed	Remaining
0	339	120820
1	669	118885
2	988	116653
3	1361	120147
4	1740	122541
5	2099	122824
6	2438	121927
7	2779	121263
8	3141	121461
9	3477	120660
10	3830	120475
11	4164	119735
12	4512	119413
13	4837	118519
14	5205	118675
15	5545	118194
16	5866	117337
17	6227	117278
18	6561	116722
19	6908	116402
20	7262	116200
21	7601	115748
22	7930	115165
23	8264	114669
24	8597	114172
25	8941	113828
26	9266	113252
27	9630	113154
28	9939	112424
29	10257	111807
30	10609	111574
31	10958	111292
32	11281	110759
33	11613	110330
34	11939	109847
35	12234	109089
36	12568	108697
37	12907	108352
38	13216	107764
39	13525	107188
40	13837	106651
41	14180	106352
42	14499	105882
43	14837	105549
44	15166	105152
45	15509	104855
46	15816	104318
47	16157	104012
48	16469	103520
49	16776	103009
50	17097	102586
51	17414	102142
52	17763	101888
53	18082	101460
54	18397	101021
55	18734	100697
56	19064	100337
57	19398	100003
58	19736	99684
59	20027	99138
60	20368	98838
61	20705	98517
62	21030	98140
63	21353	97758
64	21661	97311
65	22004	97018
66	22348	96731
67	22683	96404
68	23024	96102
69	23342	95704
70	23675	95370
71	23999	94998
72	24322	94623
73	24653	94282
74	24985	93946
75	25322	93628
76	25671	93352
77	26008	93031
78	26338	92683
79	26685	92396
80	27013	92046
81	27345	91708
82	27665	91328
83	27996	90988
84	28332	90664
85	28676	90365
86	28992	89975
87	29301	89570
88	29635	89239
89	29960	88882
90	30295	88556
91	30617	88191
92	30958	87881
93	31297	87565
94	31639	87259
95	31975	86934
96	32315	86618
97	32637	86256
98	32962	85902
99	33267	85498
100	33592	85146
101	33918	84796
102	34257	84478
103	34542	84031
104	34888	83733
105	35223	83407
106	35552	83067
107	35846	82645
108	36200	82364
109	36537	82042
110	36866	81703
111	37201	81378
112	37543	81066
113	37867	80717
114	38179	80342
115	38471	79928
116	38807	79605
117	39136	79268
118	39440	78880
119	39742	78490
120	40078	78169
121	40415	77849
122	40742	77509
123	41060	77153
124	41406	76849
125	41712	76473
126	42032	76121
127	42367	75798
128	42677	75430
129	43032	75140
130	43370	74821
131	43694	74479
132	44030	74157
133	44362	73826
134	44698	73503
135	45041	73193
136	45364	72848
137	45701	72526
138	46031	72193
139	46359	71857
140	46674	71501
141	46993	71151
142	47323	70819
143	47641	70470
144	47944	70098
145	48277	69770
146	48622	69461
147	48950	69125
148	49289	68806
149	49610	68462
150	49937	68126
151	50276	67807
152	50599	67466
153	50944	67154
154	51235	66771
155	51561	66434
156	51884	66094
157	52214	65764
158	52561	65453
159	52886	65116
160	53217	64785
161	53546	64454
162	53878	64125
163	54186	63768
164	54502	63421
165	54844	63104
166	55170	62768
167	55505	62443
168	55855	62135
169	56181	61799
170	56486	61441
171	56816	61110
172	57174	60809
173	57510	60485
174	57848	60162
175	58161	59814
176	58483	59475
177	58828	59159
178	59168	58838
179	59511	58519
180	59848	58195
181	60177	57862
182	60486	57511
183	60836	57199
184	61188	56889
185	61517	56556
186	61851	56228
187	62166	55883
188	62497	55552
189	62830	55224
190	63160	54893
191	63489	54561
192	63813	54225
193	64135	53887
194	64475	53564
195	64791	53221
196	65128	52896
197	65459	52566
198	65803	52245
199	66101	51890
200	66453	51575
201	66788	51248
202	67121	50919
203	67453	50590
204	67787	50262
205	68114	49928
206	68427	49584
207	68791	49278
208	69130	48953
209	69477	48634
210	69816	48308
211	70156	47984
212	70486	47653
213	70850	47343
214	71181	47012
215	71482	46662
216	71806	46326
217	72120	45985
218	72437	45645
219	72752	45305
220	73091	44979
221	73433	44655
222	73757	44320
223	74068	43978
224	74434	43668
225	74777	43344
226	75084	43000
227	75450	42689
228	75775	42354
229	76121	42032
230	76449	41699
231	76774	41365
232	77102	41032
233	77414	40692
234	77741	40359
235	78089	40037
236	78422	39707
237	78761	39380
238	79117	39062
239	79416	38715
240	79742	38382
241	80078	38053
242	80397	37717
243	80722	37383
244	81054	37053
245	81388	36723
246	81719	36393
247	82050	36062
248	82400	35740
249	82740	35412
250	83056	35075
251	83395	34748
252	83711	34411
253	84058	34086
254	84404	33761
255	84715	33422
256	85075	33103
257	85408	32773
258	85732	32439
259	86081	32115
260	86387	31774
261	86699	31436
262	87024	31103
263	87353	30772
264	87706	30449
265	88055	30124
266	88382	29791
267	88709	29459
268	89022	29122
269	89355	28792
270	89690	28462
271	90018	28130
272	90330	27793
273	90687	27470
274	90996	27133
275	91352	26809
276	91689	26480
277	92025	26151
278	92370	25824
279	92721	25498
280	93024	25159
281	93354	24828
282	93686	24497
283	94043	24173
284	94365	23839
285	94722	23515
286	95039	23180
287	95347	22843
288	95694	22516
289	96029	22186
290	96339	21850
291	96656	21516
292	97014	21190
293	97343	20859
294	97669	20527
295	98000	20196
296	98350	19868
297	98704	19542
298	99034	19210
299	99351	18876
300	99725	18553
301	100064	18223
302	100388	17891
303	100699	17556
304	101034	17225
305	101368	16894
306	101721	16566
307	102056	16236
308	102374	15902
309	102672	15566
310	103026	15238
311	103373	14909
312	103706	14578
313	104035	14246
314	104354	13913
315	104682	13582
316	105002	13249
317	105353	12920
318	105661	12586
319	106022	12258
320	106369	11929
321	106672	11594
322	107016	11264
323	107315	10930
324	107686	10602
325	108018	10271
326	108351	9940
327	108688	9609
328	109020	9278
329	109372	8948
330	109680	8615
331	109987	8282
332	110325	7951
333	110672	7621
334	111031	7291
335	111394	6962
336	111691	6628
337	112032	6297
338	112367	5966
339	112667	5633
340	113023	5303
341	113324	4970
342	113640	4638
343	113995	4307
344	114327	3976
345	114656	3645
346	114989	3313
347	115344	2983
348	115691	2651
349	116027	2320
350	116347	1988
351	116670	1657
352	117018	1325
353	117314	994
354	117639	662
355	117985	331
356	118277	0
